2019oncmp2_qf1m1,frc3683,frc2056,frc4907,frc1360,frc4920,frc4039,118,55
2019oncmp2_qf1m2,frc3683,frc2056,frc4907,frc1360,frc4920,frc4039,112,73
2019oncmp2_qf2m1,frc610,frc2852,frc1285,frc4069,frc6867,frc2706,87,87
2019oncmp2_qf2m2,frc610,frc2852,frc1285,frc4069,frc6867,frc2706,97,47
2019oncmp2_qf3m1,frc5406,frc2200,frc4814,frc5885,frc4688,frc4903,95,78
2019oncmp2_qf3m2,frc5406,frc2200,frc4814,frc5885,frc4688,frc4903,77,77
2019oncmp2_qf3m3,frc5406,frc2200,frc4814,frc5885,frc4688,frc4903,105,78
2019oncmp2_qf4m1,frc4917,frc2386,frc4992,frc4678,frc2702,frc7757,68,74
2019oncmp2_qf4m2,frc4917,frc2386,frc4992,frc4678,frc2702,frc7757,67,85
2019oncmp2_qm1,frc4814,frc6336,frc5409,frc5406,frc6878,frc6070,45,75
2019oncmp2_qm10,frc6140,frc5406,frc4992,frc2200,frc7757,frc4069,83,75
2019oncmp2_qm11,frc610,frc4343,frc4678,frc6867,frc4903,frc1360,67,77
2019oncmp2_qm12,frc2056,frc6336,frc2706,frc6878,frc2386,frc7480,89,61
2019oncmp2_qm13,frc4039,frc4618,frc2702,frc2634,frc4920,frc746,61,40
2019oncmp2_qm14,frc7476,frc2852,frc5409,frc5719,frc7757,frc6070,72,63
2019oncmp2_qm15,frc2200,frc6987,frc2056,frc6336,frc4917,frc610,98,95
2019oncmp2_qm16,frc6140,frc746,frc7800,frc7480,frc4914,frc4920,59,66
2019oncmp2_qm17,frc4039,frc5885,frc5406,frc2852,frc4992,frc1360,85,72
2019oncmp2_qm18,frc3683,frc4814,frc6878,frc4069,frc6141,frc1285,85,74
2019oncmp2_qm19,frc2386,frc4903,frc4618,frc2702,frc4343,frc4907,75,71
2019oncmp2_qm2,frc7480,frc6867,frc4039,frc4914,frc4907,frc4917,71,70
2019oncmp2_qm20,frc4688,frc2706,frc2634,frc6070,frc4678,frc6867,76,80
2019oncmp2_qm21,frc6141,frc4920,frc6987,frc6336,frc1360,frc2200,57,76
2019oncmp2_qm22,frc6878,frc4914,frc5885,frc7476,frc4618,frc4343,87,48
2019oncmp2_qm23,frc2634,frc5719,frc4907,frc2702,frc746,frc4688,55,57
2019oncmp2_qm24,frc4039,frc610,frc4814,frc2706,frc7480,frc7757,65,54
2019oncmp2_qm25,frc4903,frc7800,frc6070,frc3683,frc6140,frc2056,48,100
2019oncmp2_qm26,frc5409,frc4069,frc5406,frc6867,frc2386,frc2852,64,73
2019oncmp2_qm27,frc4920,frc4678,frc1285,frc7476,frc4992,frc4917,67,72
2019oncmp2_qm28,frc746,frc1360,frc4907,frc6878,frc7757,frc610,60,82
2019oncmp2_qm29,frc5885,frc7480,frc4903,frc6141,frc2634,frc5406,56,88
2019oncmp2_qm3,frc1285,frc7757,frc2386,frc5885,frc4688,frc4678,68,78
2019oncmp2_qm30,frc4343,frc6070,frc1285,frc2852,frc4917,frc4069,58,66
2019oncmp2_qm31,frc6140,frc6867,frc5409,frc2702,frc2056,frc4678,62,99
2019oncmp2_qm32,frc2706,frc4814,frc2386,frc4618,frc5719,frc2200,62,62
2019oncmp2_qm33,frc4992,frc4688,frc3683,frc7800,frc6987,frc4039,81,56
2019oncmp2_qm34,frc6336,frc5406,frc2852,frc7476,frc4914,frc2702,74,48
2019oncmp2_qm35,frc5409,frc7480,frc6070,frc4907,frc2200,frc6141,39,82
2019oncmp2_qm36,frc5719,frc3683,frc6987,frc746,frc5885,frc6867,72,68
2019oncmp2_qm37,frc1360,frc4814,frc4688,frc2386,frc4920,frc2056,65,86
2019oncmp2_qm38,frc4917,frc4618,frc1285,frc7757,frc4903,frc6140,59,47
2019oncmp2_qm39,frc4069,frc4992,frc6336,frc7800,frc2634,frc610,80,64
2019oncmp2_qm4,frc2200,frc7800,frc4343,frc746,frc7476,frc2706,85,69
2019oncmp2_qm40,frc2706,frc6878,frc4343,frc4914,frc4039,frc4678,64,66
2019oncmp2_qm41,frc6141,frc6867,frc4688,frc7480,frc4814,frc7476,73,56
2019oncmp2_qm42,frc4920,frc2200,frc5406,frc4618,frc4907,frc610,91,69
2019oncmp2_qm43,frc4903,frc2702,frc6987,frc2706,frc5409,frc4039,71,53
